WID;WholeCellModelID;BioCycID;BiGGID;KEGGID;CASID;PubChemID;ThreeDMETID;ChEBIID;PDBCCDID;KNApSAcKID;LIPIDMAPSID;LipidBankID;Name;TraditionalName;IUPACName;Category;Subcategory;EmpiricalFormula;Smiles;Charge;Hydrophobic;MolecularWeightCalc;Volume;pKa;pKa1;pKa2;pKa3;pI;logP;logD;ExchangeLowerBound;ExchangeUpperBound;Reactions;Comments
1000302;A23CMP;CPD-3707;23camp;C02353;;5400;B01564;27844;ACK;;;;2',3'-Cyclic AMP;4-(6-aminopurin-9-yl)-6-(hydroxymethyl)-2-oxo-tetrahydro-1,3,5,2$l^{5}-furo[3,4-d][1,3,2$l^{5}]dioxaphosphol-2-olate;4-(6-amino-9H-purin-9-yl)-6-(hydroxymethyl)-2-oxo-tetrahydro-2H-1,3,5,2$l^{5}-furo[3,4-d][1,3,2$l^{5}]dioxaphosphol-2-olate;cyclic ribonucleotide monophosphate;;C10H11N5O6P1;NC1=NC=NC2=C1N=CN2C1OC(CO)C2OP([O-])(=O)OC12;-1;N;328,198;239,1699982;;;;;3,960000038;-4,059999943;-3,700000048;;;CpdB3;
1000303;A3MP;CPD-3706;3amp;C01367;84-21-9;4566;B01442;28931;3AM;C00019350;;;3'-AMP;[5-(6-aminopurin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] phosphate;[5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] phosphate;nucleoside 3'-phosphate ;;C10H12N5O7P1;NC1=NC=NC2=C1N=CN2C1OC(CO)C(OP([O-])([O-])=O)C1O;-2;N;345,205;256,3099976;;;;;3,819999933;-5,170000076;-5,880000114;;;CpdB3;
1000304;AC;ACET;ac;C00033;64-19-7;3335;B00009;15366;ACY;C00001176;LMFA01010002;DFA0002;acetate;acetate;acetate;carboxy acid;;C2H3O2;C([O-])(=O)C;-1;N;59,0439;53,50999832;;;;;;-0,219999999;-2,829999924;;;"AckA;TX_ACUP";
1000305;ACAL;ACETALD;acald;C00084;75-07-0;3384;B01155;15343;ACE;C00007392;;;acetaldehyde;acetaldehyde;acetaldehyde;;;C2H4O1;[CH](C)=O;0;N;44,0524;47,45999908;;;;;;-0,379999995;-0,379999995;;;"DeoC;GlyA4;PhnX;TX_ACAL";
1000306;ACCOA;ACETYL-COA;accoa;C00024;72-89-9;2093;B04621;15351;ACO;C00007259;;;Acetyl-CoA;{3-[(2-{[2-(acetylsulfanyl)ethyl]carbamoyl}ethyl)carbamoyl]-3-hydroxy-2,2-dimethylpropyl} ({[5-(6-aminopurin-9-yl)-4-hydroxy-3-(phosphonatooxy)oxolan-2-yl]methyl phosphonato}oxy)phosphonate;{3-[(2-{[2-(acetylsulfanyl)ethyl]carbamoyl}ethyl)carbamoyl]-3-hydroxy-2,2-dimethylpropyl} ({[5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonatooxy)oxolan-2-yl]methyl phosphonato}oxy)phosphonate;vitamin;CoA derivative;C23H34N7O17P3S1;CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OCC1OC(C(O)C1OP([O-])([O-])=O)N1C=NC2=C1N=CN=C2N;-4;N;805,538;620,6199951;;;;;2,119999886;-7,150000095;-11,97000027;;;"AceE;Pta";
1000307;acetamide;ACETAMIDE;;C06244;;8144445;;27856;;;;;acetamide ;acetamide;acetamide;damaging agent;;C2H5N1O1;CC(=O)N;0;N;59,067;58,41999817;;;;;7,730000019;-1,029999971;-1,029999971;;;DNADamage_AD_carbamoylmethyl6AD_acetamide;
1000308;acriflavine;;;C11273;;156632;;383703;;;;;Acriflavine;3,6-diamino-10-methylacridin-10-ium;3,6-diamino-10-methylacridin-10-ium;antibiotic;acridine;C14H14N3;C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N;1;N;224,281;206,2400055;;;;;;-2,809999943;-2,809999943;;;TX_NormM_acriflavine;DNA intercalator [PUB_0847].
1000309;ACTP;ACETYL-P;actp;C00227;;3527;B00063;15350;UVW;C00019559;;;Acetyl phosphate;acetyl phosphate;(acetyloxy)phosphonate;;;C2H3O5P1;CC(=O)OP([O-])([O-])=O;-2;N;138,016;96,01999664;;;;;;-0,879999995;-4,210000038;;;"AckA;Pta";
1000310;AD;ADENINE;ade;C00147;73-24-5;3447;B00041;16708;ADE;C00001490;;;adenine;adenine;7H-purin-6-amine;nucleobase;;C5H5N5;C1=NC2=C(N1)C(=NC=N2)N;0;N;135,126;107,1900024;;;;;7,809999943;-0,569999993;-0,579999983;;;"Apt;DeoD2;DeoD5;DNADamage_AD_carbamoylmethyl6AD_acetamide;DNADamage_AD_e1AD_DES;DNADamage_AD_e1AD_EMS;DNADamage_AD_e1AD_ENU;DNADamage_AD_e3AD_DES;DNADamage_AD_e3AD_EMS;DNADamage_AD_e3AD_ENU;DNADamage_AD_e6AD_DES;DNADamage_AD_e6AD_EMS;DNADamage_AD_e6AD_ENU;DNADamage_AD_e7AD_DES;DNADamage_AD_e7AD_EMS;DNADamage_AD_e7AD_ENU;DNADamage_AD_epsilon1N6AD_chloroethylene_oxide;DNADamage_AD_FAPyAD_hydroxyl_radical;DNADamage_AD_m1AD_MMS;DNADamage_AD_m1AD_MMSO4;DNADamage_AD_m1AD_MNNG;DNADamage_AD_m1AD_MNU;DNADamage_AD_m3AD_MMS;DNADamage_AD_m3AD_MMSO4;DNADamage_AD_m3AD_MNNG;DNADamage_AD_m3AD_MNU;DNADamage_AD_m6AD_CH3;DNADamage_AD_m7AD_MMS;DNADamage_AD_m7AD_MMSO4;DNADamage_AD_m7AD_MNNG;DNADamage_AD_m7AD_MNU;DNADamage_AD_n2AD_NH3;DNADamage_AD_oxo2AD_hydroxyl_radical;DNADamage_AD_oxo8AD_hydroxyl_radical;DNADamage_SpontaneousBaseDeamination_adenine;DNADamage_SpontaneousBaseLoss_adenine;DNA_RM_EcoD_Methylation;DNA_RM_MunI_Methylation;TX_AD;YicP";
1000311;ADN;ADENOSINE;adn;C00212;58-61-7;3512;B01189;16335;ADN;C00007444;;;adenosine;adenosine;2-(6-amino-9H-purin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol;ribonucleoside;;C10H13N5O4;C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O;0;N;267,241;215,8999939;;;;;8,779999733;-2,089999914;-2,089999914;;;"AHCYSs;DeoD5;UshA_AMP";
